Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Evan Thorpe,£0,1.67,61,Gibraltar Football League,,,,11.43,0.11,211,15%,237.43,0.04,,0.2,0.38,0.2,0.08,50%,1.19,0.05,14%,0.76,0.11,14%,2,11.5km,0.49,24.69,20.85,5.58,19.71,1.25,0.7,2.49,1.25,0.05,1.08,0.76,3.25,1.03,2.22,0,10%,1.3,75%,84%,6.44,0,0.11,1.03,
,  ,Eddie Thompson,£0,0.78,44,Gibraltar Football League,,,,3.59,0.22,48,,,0.29,,0.03,,0.03,0.06,50%,1.35,0,18%,1.2,0.22,19%,3,11.6km,0.52,43.92,38.3,6.66,15.34,4.11,0.22,0.45,0.22,0.45,1.05,1.87,8.83,1.5,1.8,0,38%,0.97,76%,87%,9.58,0.07,0.67,1.5,0.37
,  ,Daniel Williams,£0,0.81,61,Gibraltar Football League,,,,6.58,0.06,115,,,0.16,,0.05,,0.05,0.08,27%,1.66,0.06,11%,7.21,0.69,10%,1,13.0km,1.54,33.36,28.84,7.9,19.68,2.4,0.29,0.63,0.17,0.4,1.2,1.83,11.39,1.26,1.54,0,25%,0.63,61%,86%,8.12,0,0.4,1.89,0.11
,  ,Jonny Wainwright,£4.5K  £14K,1.3,81,Gibraltar Football League,,,,6.3,0.13,145,9%,414.4,0.26,,0.39,0.22,0.39,0.16,28%,2,0,11%,1.43,0.26,18%,3,12.6km,1.17,33.66,27.45,9.86,16.25,2.17,0.61,2.48,0.69,0.35,0.74,1.35,12.81,1,2.61,0,32%,1.35,89%,82%,9.21,0,0.39,1.26,0.26
,  ,Peter Bech,£5K  £16K,0.89,50,Gibraltar Football League,,,,5.85,0.14,82,17%,630.5,0.13,,0.08,0.14,0.08,0.09,17%,0.57,0.14,16%,6.85,0.43,6%,2,12.5km,0.93,34.9,29.26,7.99,20.27,2.36,0.21,0.86,0.14,0.21,1.43,1.71,13.56,1.64,1.71,0,10%,0.93,68%,84%,8.92,0,0.36,1.64,0.07
,  ,Leon Gracia,£5K  £16K,2.04,83,Gibraltar Football League,,,,11.27,0.14,239,22%,127.2,0.18,,0.34,0.71,0.34,0.1,48%,1.75,0.05,23%,0.61,0.14,23%,3,11.6km,1.08,22.59,19.39,5.14,14.53,0.99,1.18,3.25,1.56,0.14,0.57,0.85,2.88,1.04,1.37,0,15%,0.9,79%,86%,5.57,0.05,0.24,1.04,0.24
,  ,Callum Unsworth,£2K  £6K,1.96,84,Gibraltar Football League,,,,11.84,0.18,199,21%,151.3,0.09,,0.25,0.59,0.25,0.09,63%,4.22,0,25%,0.71,0.18,25%,3,11.0km,0.89,22.54,19.75,5.95,16.83,0.77,0.71,2.86,1.78,0.12,0.48,0.89,1.25,0.71,1.78,0,36%,1.01,81%,88%,5.29,0,0.18,0.71,0.18
Inj,  ,Mikhail Pavlov,£0,1.6,57,Gibraltar Football League,,,,4.96,0.2,75,10%,681,0.17,,0.09,0.13,0.09,0.07,35%,0.53,0.13,21%,7.86,0.86,11%,3,13.0km,1.32,32.51,27.29,8.33,20.81,1.32,0.4,1.32,0.46,0.4,1.12,1.19,9.45,0.99,1.85,0,11%,1.06,84%,84%,8.66,0,0.4,0.99,0.13
,  ,Brad Young,£0,0.48,43,Gibraltar Football League,,,,4.91,0.14,70,,,0.12,,0.03,,0.03,0.09,40%,0.77,0.14,12%,9.19,0.98,11%,2,12.8km,0.63,32.76,27.57,8.42,27.64,1.82,0.14,0.35,0.14,0.07,1.33,1.68,7.01,1.47,2.67,0,16%,1.82,81%,84%,7.93,0,,1.82,
,  ,Elliot Watts,£7K  £20K,2.17,106,Gibraltar Football League,,,,3.87,0.12,98,15%,569.75,0.55,,0.13,0.16,0.13,0.12,52%,1.74,0.16,25%,0.47,0.12,25%,3,12.5km,0.67,43.24,37.48,10.58,8.06,3.24,0.24,1.07,0.55,0.36,0.67,1.94,14.1,1.22,2.45,0,45%,1.3,75%,87%,11.57,0.12,1.03,1.22,0.59
