Nation,EUFA,CA
England,110.178,146.592
Spain,89.677,140.6352459
Italy,86.855,139.3276596
Germany,81.624,136.2396313
France,67.581,133.0829493
Netherlands,62.1,119.8761062
Portugal,59.149,125.3542601
Belgium,46.1,117.7857143
Turkey,40.85,118.8326693
Scotland,39.45,111.3945578
Switzerland,34.575,116.9798658
Ukraine,31.9,105.9489796
Serbia,31.775,105.7883598
Austria,31.3,117.2740741
Norway,29.25,111.7926829
Greece,28.825,113.8255814
Denmark,28.2,115.3178808
Czechia,27.8,111.1907216
Israel,26.125,104.5942857
Sweden,24.375,109.1888112
Croatia,23.025,112.754386
Poland,23,108.4139535
Hungary,21.625,106.7466667
Bulgaria,21.25,101.9834254
Slovakia,20.625,100.0138889
Romania,19.875,107.1116751
Ireland,13.75,91.03703704
Slovenia,13.75,105.432
Finland,11.75,87.80128205
Latvia,10.5,83.83333333
Northern Ireland,9.208,77.93506494
Iceland,8.417,93.64084507
Belarus,7.25,87.64
Gibraltar,5.291,76.21428571
