Pos,Nation,66/67,67/68,68/69,69/70,70/71,71/72,Coef. 71/72,Coef. 72/73
1st,England,29,23.625,23.062,27.125,25.667,25.438,128.479,124.917
2nd,Germany,22.786,24.562,20.722,25,25.75,24.8,118.82,120.835
3rd,Spain,21.438,23.571,18.5,20.857,18.429,18.143,102.795,99.5
4th,Italy,17.143,22,20.857,22.357,20,20.143,102.357,105.357
5th,France,17.643,12.5,22.071,15.143,15.714,16.357,83.071,81.786
6th,Portugal,10.667,12.583,18.25,12.5,14.25,9,68.25,66.583
7th,Scotland,11,19.1,10.6,8.75,14.5,12.6,63.95,65.55
8th,Austria,12.3,11.9,11.1,10.7,14,11.6,60,59.3
9th,Netherlands,11.3,10,13.1,10.5,13.5,16,58.4,63.1
10th,Czechia,19.375,12.5,8.9,9.8,6.6,6,57.175,43.8
11th,Belgium,9.5,9.8,11.4,13.6,10.5,10.9,54.8,56.2
12th,Türkiye,13,8.3,7.3,7.8,9,7.3,45.4,39.7
13th,Ukraine,6.7,9.375,5.75,13.875,9.25,4.375,44.95,42.625
14th,Republic of Ireland,6.25,8.625,7.75,14.75,6,7.4,43.375,44.525
15th,Bulgaria,8.5,8.2,5.8,9.9,10.6,9.2,43,43.7
16th,Croatia,10.1,7.1,8.3,6.5,6.8,6.2,38.8,34.9
17th,Denmark,8,8.25,7.625,5.75,8.375,8.5,38,38.5
18th,Switzerland,6.625,5.625,4.75,8.375,7.25,5.375,32.625,31.375
19th,Greece,6.7,7.3,8.3,4.5,5.7,8.25,32.5,34.05
20th,Serbia,4,12,7.125,6.3,2.75,8,32.175,36.175
21st,Romania,6.625,7.25,5.75,4.75,7.5,5,31.875,30.25
22nd,Norway,8.5,3.125,8.25,3.625,8.125,9.25,31.625,32.375
23rd,Liechtenstein,2.5,1,2.5,21,3,18,30,45.5
24th,Israel,4.5,3.375,7.25,7.25,5.875,13.375,28.25,37.125
25th,Sweden,3.125,8.125,7.25,3.875,5.625,6.25,28,31.125
26th,Slovenia,7.125,3.5,7.25,3.75,4.875,10.125,26.5,29.5
27th,Finland,3.625,6.25,6.625,4.125,4,2.875,24.625,23.875
28th,Northern Ireland,3.25,6.125,3.875,7.625,3.625,5.5,24.5,26.75
29th,Poland,4,4.5,4.375,3.125,6,3.125,22,21.125
30th,Hungary,4.75,1.625,5.25,6,4.375,3.625,22,20.875
31st,Bosnia and Herzegovina,3.25,5,2,5.25,5.625,2.125,21.125,20
32nd,Cyprus,3.875,3.5,4.5,3.375,3.75,1.625,19,16.75
33rd,Gibraltar,4.25,4,3,2.75,4.75,4.25,18.75,18.75
34th,Slovakia,3.125,2.875,4.375,3.5,3.125,1.75,17,15.625
35th,Georgia,6.25,2.25,3,2.375,3.125,2.625,17,13.375
36th,Belarus,2,5,3.25,4,1.75,2.75,16,16.75
37th,Iceland,3.625,2.125,4.125,3.375,2.125,0.875,15.375,12.625
38th,Wales,1.625,2.75,2.875,3,4.125,2.75,14.375,15.5
39th,Kazakhstan,2.75,3.125,2.25,3.75,2.25,5.375,14.125,16.75
40th,Latvia,4.25,2.625,1.625,2,1.625,3.5,12.125,11.375
41st,Moldova,2.5,1.875,2.5,1.25,3.125,2.5,11.25,11.25
42nd,Albania,1.125,2,1.375,3.375,2.125,1.75,10,10.625
43rd,Azerbaijan,1.5,2.625,2.5,2.125,1.125,0.375,9.875,8.75
44th,North Macedonia,1.625,1.875,1.375,2.625,1.25,2.875,8.75,10
45th,Faroe Islands,2.25,0.75,1.625,1.625,1.625,0.75,7.875,6.375
46th,Armenia,1,1.75,3.125,0.625,1.375,2,7.875,8.875
47th,Luxembourg,1.625,1.75,0.625,1.5,1.125,1.125,6.625,6.125
48th,Montenegro,1.375,1.125,1.125,0.75,1,0.625,5.375,4.625
49th,Lithuania,0.75,0.375,1.5,0.667,1.125,1.5,4.417,5.167
50th,Estonia,1.5,0.167,0.5,1.125,0.667,1,3.958,3.458
51st,Kosovo,1,0.333,0.333,0.333,0,0,2,1
52nd,San Marino,0,0,0.667,0,0.833,0.667,1.5,2.167
53rd,Malta,0,0.167,0,0,0,0,0.167,0.167
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
