Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
Yth,  ,Harrison Hill,£0,0.6,20,Gibraltar Football League,,,,7.44,0.07,110,17%,665.5,0,,0.09,0.14,0.09,0.12,50%,4.73,0.68,33%,0.2,0.07,33%,1,11.2km,,55.04,43.55,4.94,4.6,4.33,0.27,0.81,0.41,0.41,1.49,1.76,5.34,0.41,1.42,0.2,64%,1.42,88%,79%,3.25,0.54,,0.41,
,  ,Daniel Adam,£0,1.15,70,Gibraltar Football League,,,,8.14,0,146,12%,807.5,0.02,,0.08,0.11,0.08,0.08,12%,4.46,0.45,,0.17,0,0%,0,11.4km,0.11,55.28,46.81,5.35,2.9,3.9,0.56,0.95,0.11,0.5,1.84,1.67,16.55,0.45,0.89,0.61,55%,0.89,80%,85%,2.62,0.22,0.06,0.45,
,  ,Tomi Hughes,£10K  £30K,2.2,101,Gibraltar Football League,,,,8.61,0.05,169,,,0.02,,0.08,,0.08,0.09,13%,6.11,0.87,25%,0.2,0.05,25%,1,11.3km,0.15,55.42,48.08,5.3,2.8,3.26,0.31,0.81,0.1,0.51,1.12,1.32,19.51,0.15,1.07,0.15,71%,1.38,84%,87%,3.51,0.25,,0.15,
,  ,Kuba Kwiatkowski,£0,1.15,49,Gibraltar Football League,,,,8.13,0,70,33%,775,0.01,,0.01,0.12,0.01,0.04,67%,5.23,0.93,,0.12,0,0%,0,10.7km,,51.91,43.78,4.53,3.6,4.18,0.12,0.35,0.23,0.12,1.28,1.51,14.75,0.12,1.74,0.58,64%,1.51,81%,84%,3.48,0,,0.12,
,  ,Scott Brook,£2K  £6K,2.09,92,Gibraltar Football League,,,,8.74,0.05,163,7%,"1,679.00",0.02,,0.08,0.05,0.08,0.11,27%,6.27,1.13,12%,0.43,0.05,13%,1,10.9km,0.54,52.42,44.65,5.09,2.84,4.34,0.43,0.8,0.21,0.91,1.45,1.5,19.73,0.38,1.13,0.7,72%,1.18,76%,85%,3.48,0.05,0.21,0.38,0.11
,  ,Seth Shonk,£4.5K  £14K,2.07,100,Gibraltar Football League,,,,6.33,0.04,168,16%,795.67,0.03,,0.07,0.11,0.07,0.09,32%,4.37,0.3,33%,0.11,0.04,33%,1,11.5km,0.08,56.22,50.15,5.24,2.98,3.17,0.15,0.72,0.23,0.53,1.17,2.04,22.17,0.23,1.13,0.64,69%,0.98,72%,89%,3.2,0.15,,0.23,
U23,  ,Dominic DrakeWard,£0,0.33,52,Gibraltar Football League,,,,9.64,0,143,,,0.04,,0.03,,0.03,0.1,0%,7.48,1.08,,1.55,0.13,9%,0,10.6km,,52.31,41.26,4.25,3.78,3.78,0.13,0.27,0,0.47,1.55,1.21,16.18,0.4,0.94,0.88,78%,1.01,94%,79%,2.76,0.34,,0.54,
,  ,Les Halsey,£0,1.21,63,Gibraltar Football League,,,,8.98,0.05,195,15%,977,0.01,,0.06,0.09,0.06,0.1,31%,5.39,0.83,11%,0.41,0.05,11%,1,10.8km,0.23,50.99,42.42,4.84,5.25,4.1,0.14,0.6,0.18,0.55,1.7,1.47,14.65,0.32,1.06,0.78,60%,1.15,83%,83%,3.18,0.14,,0.32,0.05
,  ,Kyle Field,£0,1.22,63,Gibraltar Football League,,,,9.26,0,213,,,0.05,,0.07,,0.07,0.16,40%,5.96,1,,0.09,0,0%,0,11.1km,0.04,52.83,43.48,3.48,3,3.48,0.13,0.43,0.17,0.3,1.83,1.13,15.35,0.26,1.57,0.78,64%,1.57,88%,82%,3.48,0.3,,0.26,0.04
,  ,Ndubuisi Olawale,£0,1.22,82,Gibraltar Football League,,,,8.83,0,203,6%,"2,070.00",0.02,,0.08,0.04,0.08,0.11,25%,7,1.13,,0.04,0,0%,0,11.2km,0.09,52,41.7,5.52,3.22,3.43,0.13,0.7,0.17,0.52,1.35,1.43,14.26,0.35,1.3,1.39,79%,1.17,77%,80%,3.43,0.26,0.09,0.35,0.04
