Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Alexander Schönberger,Not for Sale,1.85,180,Bundesliga,7.54,5.72,0.76,,0.05,0,0%,0,11.7km,0.4,72.28,67.07,6.28,1.57,4.66,0.25,0.81,0.25,0.51,0.51,1.77,22.58,0.3,0.71,0.96,76%,0.86,81%,93%,2.94,0.05,0.05,0.3,0.15
,  ,Javier Campos,£105M  £316M,1.75,177,Spanish First Division,7,5.31,0.44,,0,0,,0,12.1km,0.44,66.38,61.38,6.56,0.94,3.62,0.12,0.31,0.06,0.69,0.75,1.94,21.88,0.44,0.75,0.5,76%,0.75,63%,92%,2.62,0.25,0.06,0.44,
,  ,Javier Meléndez,Not for Sale,2.14,176,Italian Serie A,7.57,5.93,0.64,100%,0.07,0.07,100%,1,11.8km,0.14,61.79,58,5.43,1.64,4.14,0,,,1.07,0.64,1.93,23.36,0.14,0.57,0.5,78%,0.86,86%,94%,3.07,0.07,,0.14,0.14
,  ,Emrah Aslan,£40M  £119M,0.93,174,Saudi Professional League,0.73,0.51,0.07,,0,0,,0,1.5km,0.15,26.17,21.01,0.8,0.15,0.58,0,0.65,0.07,,0.07,0.15,2.4,0.07,0.22,0,70%,1.74,100%,80%,0.51,0.07,,0.07,
,  ,Ignacio Durá,Not for Sale,2.77,173,Bundesliga,6.22,4.75,0.81,,0.19,0,0%,0,11.4km,0.09,67.82,64.12,6.03,2.04,4.23,0.28,0.9,0.33,0.47,0.95,2.52,21.66,0.24,1.04,0.38,76%,1.52,89%,95%,2.56,0.33,0.19,0.24,0.05
Inj,  ,Rayane Falatt,£70M  £210M,2.46,172,Spanish First Division,6.69,4.77,0.92,,0,0,,0,11.7km,0.31,67.54,62.46,5.31,1.46,3.46,0.15,0.54,0.15,0.31,0.46,2.15,25.31,0.15,1.23,0.54,71%,1.31,77%,92%,3.38,0.08,0.15,0.15,
,  ,Ibrahim Yusuf,£85M  £254M,1.62,171,Spanish First Division,5.28,4.02,0.55,,0.16,0,0%,0,11.3km,0.08,66.12,62.65,5.67,1.26,4.18,0.47,0.87,0.32,0.63,1.02,2.05,18.05,0.47,1.18,0.71,76%,1.18,71%,95%,3.39,0.32,,0.47,0.08
,  ,Wilson Lima,£48M  £144M,2.74,171,Bundesliga,8.41,6.48,0.54,33%,0.16,0.05,33%,1,11.3km,0.16,62.09,58.29,5.36,2.09,5.04,0.27,1.02,0.11,0.8,0.64,2.3,20.36,0.38,0.96,0.64,77%,1.23,79%,94%,3,0.38,0.05,0.38,0.05
,  ,Mickaël Boissinot,£84M  £253M,2.33,170,Spanish First Division,7.3,4.64,0.8,,0.07,0,0%,0,11.0km,0.4,60.15,56.51,5.31,1.59,4.38,0.2,0.66,0.2,0.46,0.53,1.86,20.23,0.27,1.19,0.93,64%,1.26,70%,94%,3.85,0.33,0.07,0.27,0.07
nEU,  ,Saliou Guèye,£86M  £259M,1.92,163,Italian Serie A,7.25,5.3,0.78,,0.08,0,0%,0,11.1km,0.08,62.7,58.26,4.29,1.95,5.85,0.16,0.31,0,0.78,0.47,2.34,18.02,0.08,0.7,0.94,73%,1.33,89%,93%,2.81,0.08,,0.08,
,  ,Isaac Fuente,£16.5M  £50M,1.35,163,Saudi Professional League,0.96,0.36,0,,0,0,,0,2.0km,0.12,26.15,20.56,1.68,0.24,0.78,0,0.72,0.18,0.12,0.06,0.18,4.03,0.24,0.3,0,38%,1.44,92%,79%,1.02,0,0.06,0.24,0.18
,  ,Carlos Castillo,£64M  £193M,1.55,159,Spanish First Division,5.82,4.09,0.91,50%,0.18,0.09,50%,1,11.6km,0.09,60.36,56.64,4.82,2.27,4.73,0.18,0.45,0.09,0.55,1.09,1.18,22,0.36,1.55,0.27,70%,1.73,86%,94%,2.73,0.82,,0.36,
Inj,  ,Fahri Özkan,£48M  £143M,2,158,English Premier Division,6.39,4.23,1.17,,0,0,,0,10.8km,0.18,60.57,57.15,4.41,2.7,4.5,0.27,0.54,0.09,0.09,0.27,1.26,16.56,0.09,1.35,0.36,66%,1.53,100%,94%,3.15,0.09,,0.09,
Ask,  ,Luiz,£34M  £103M,1.81,158,Bundesliga,6.62,4.63,0.39,,0.06,0,0%,0,11.7km,0.19,68.66,64.22,5.98,3.79,3.92,0.13,0.71,0.13,0.64,1.22,1.93,17.36,0.32,1.16,0.26,70%,1.35,72%,94%,3.41,0.39,0.06,0.32,
,  ,Armani Besant,£54M  £162M,1.46,158,English Premier Division,6.45,4.25,1.31,,0,0,,0,10.6km,0.08,59.54,57.33,4.33,2.53,4.57,0,0.08,0,0.25,0.41,1.8,15.27,0.16,1.14,0.41,66%,1.14,67%,96%,2.94,0.08,0.08,0.16,
