Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Lev Shayunov,£3.5K  £12K,1.77,85,Gibraltar Football League,,,,5.58,0.71,142,13%,"2,291.00",0.06,,0.03,0.04,0.03,0.1,13%,3.89,0.86,24%,2.87,0.71,25%,18,12.4km,0.98,45.57,37.59,11.94,13.91,5.3,0,0.31,0.04,0.59,1.26,2.04,15.36,1.26,2.4,0.43,70%,2.71,88%,83%,7.46,0.04,0.04,1.26,0.08
,  ,Samuel Sousa,£3K  £9K,1.8,85,Gibraltar Football League,,,,7.38,0.76,58,14%,707,0.05,,0.09,0.13,0.09,0.1,29%,4.33,0.64,18%,4.07,0.76,19%,6,11.6km,1.91,44.05,37.17,10.95,17.95,5.22,0.38,0.89,0.25,0.64,1.15,1.53,8.78,1.02,1.78,0.13,59%,1.91,94%,84%,7.38,0.38,0.13,1.02,0.13
,  ,Antonis Eleftheriadis,£4.5K  £14K,2.65,86,Gibraltar Football League,,,,6.6,0.7,123,,,0.07,,0.02,,0.02,0.07,33%,4.56,1.13,18%,3.76,0.7,19%,13,12.3km,0.91,45.72,38.48,14.22,12.4,5.21,0.05,0.32,0.11,0.43,1.61,1.5,10.63,1.02,2.04,0,69%,2.42,87%,84%,7.03,0.05,0.16,1.02,0.16
,  ,Kyle O'Connor,£0,1.44,51,Gibraltar Football League,,,,4.29,0.61,63,,,0.09,,0.01,,0.01,0.07,0%,1.29,0.2,9%,6.81,0.61,9%,9,13.0km,1.09,36.38,31.61,13.15,16.69,3.68,0,0.14,0,0.55,1.23,2.73,7.97,1.16,2.38,0.27,30%,2.18,73%,87%,10.76,0,0.14,1.16,
Unh,  ,Aly Nader,£0,0.78,40,Gibraltar Football League,,,,6.56,0.17,116,,,0.12,,0,,0,0,,3.45,0.4,8%,1.98,0.17,9%,3,12.0km,0.45,46.39,39.6,10.75,15.78,5.32,0,,,0.85,1.81,1.87,10.86,1.24,1.81,0.45,53%,2.38,93%,85%,7.07,0.23,0.06,1.24,0.17
,  ,Ross Coleman,£0,0.7,42,Gibraltar Football League,,,,6.91,0.65,139,8%,905.5,0.01,,0.19,0.1,0.19,0.15,23%,4.17,0.55,16%,4.03,0.65,16%,13,11.1km,0.5,44.88,37.32,13.07,18.93,3.58,0.25,1.29,0.3,0.55,1.89,1.84,9.39,0.6,1.94,1.04,60%,1.79,73%,83%,7.06,0.05,0.05,0.6,0.05
,  ,Julian Britto,£0,0.67,41,Gibraltar Football League,,,,6.6,0.55,108,,,0.05,,0.05,,0.05,0.07,8%,2.81,0.37,16%,3.36,0.55,16%,9,12.3km,0.79,46.37,40.81,11.36,15.82,3.73,0.43,0.79,0.06,0.86,1.47,2.99,9.96,0.49,1.65,0.24,43%,2.14,95%,88%,6.54,0,0.06,0.49,0.06
,  ,Kilian Bidart,£4.5K  £12K,1,61,Gibraltar Football League,,,,3.97,1.05,49,,,0.15,,0.02,,0.02,0.12,50%,0.81,0.08,17%,6.08,1.05,17%,13,12.6km,1.38,35.27,30.65,13.7,15.49,3.65,0,0.16,0.08,0.89,0.97,2.92,10.38,1.05,1.78,0.73,20%,1.95,96%,87%,10.86,0.08,0.08,1.05,
,  ,Oualid Zokari,£0,1,60,Gibraltar Football League,,,,7.42,0.09,157,,,0.07,,0.03,,0.03,0.11,0%,4.87,0.57,12%,0.76,0.09,13%,2,10.8km,0.19,49.56,41.06,6.19,5.1,3.35,0.09,0.24,0,0.43,1.18,1.32,18.47,0.38,1.42,0.71,66%,1.28,71%,83%,3.64,0.14,0.14,0.38,0.09
Int,  ,Jack Phillips,£5K  £14K,2.16,94,Gibraltar Football League,,,,8.09,0.6,255,8%,946,0.04,,0.12,0.1,0.12,0.1,28%,5.42,0.67,18%,3.23,0.6,19%,19,12.0km,0.22,47,40.24,14.08,11.23,4.79,0.38,1.24,0.35,0.51,1.55,2.06,15.44,0.95,2.66,0.44,67%,2.06,68%,86%,6.75,0.35,0.13,0.95,0.06
