Inf,Rec,Name,Transfer Value,Pts/Gm,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
Int,  ,Erik Iversen,£132M  £397M,2,3.87,1.81,0.33,30%,3.24,0.78,24%,19,12.8km,1.86,48.73,43.02,12.8,1.94,4.04,1.08,3.14,1.1,0.35,0.41,1.53,18,1.67,2.85,0,47%,1.86,77%,88%,10.19,0,0.31,2.94,0.26
,  ,İbrahim Aydın,£116M  £347M,2.2,3.25,1.2,0.07,9%,7.27,1.35,19%,3,12.7km,1.65,52.04,45.2,12.41,9.44,4.25,0.37,1.47,0.67,0.5,0.62,1.6,16.91,1.85,2.67,0,37%,1.8,73%,87%,10.59,0.07,0.45,3.3,0.4
Int,  ,Jakub Bleha,£103M  £308M,1.98,2.79,1.06,0.05,27%,0.9,0.24,27%,9,12.6km,1.47,52.39,45.53,12.48,4.69,4.48,0.41,1.47,0.73,0.41,0.79,1.38,14.6,2.09,2.93,0,38%,1.9,80%,87%,11.45,0.08,0.27,3.26,0.22
Int,  ,Arno Eggers,£87M  £262M,2.38,3.07,1.33,0.05,26%,0.72,0.19,27%,8,12.8km,1.21,46.63,41.15,12.17,5.84,4.61,0.46,1.79,0.82,0.27,0.51,1.69,18.5,2.03,3.09,0,43%,2.29,76%,88%,11.28,0.02,0.56,2.03,0.36
,  ,Guilherme,£85M  £256M,1.29,3.39,1.37,0.13,26%,0.62,0.16,26%,6,12.6km,1.83,50.7,43.74,10.73,9.14,4.22,0.56,1.24,0.54,0.4,0.7,1.75,13.9,2.02,2.85,0,40%,1.48,60%,86%,11.08,0.08,0.38,2.02,0.27
Int,  ,Diego Cruz,£70M  £210M,1.2,3.69,1.78,0.32,17%,0.73,0.13,17%,4,12.5km,1.94,47.83,41.94,10.82,11.39,3.56,0.38,0.92,0.48,0.38,0.7,1.85,12,1.18,2.67,0,48%,1.85,85%,88%,11.04,0.06,0.29,1.18,0.06
Int,  ,Francisco Carbonaro,£68M  £204M,2,2.29,0.44,0.09,42%,7.5,1.09,15%,8,12.5km,1.82,51.62,46.26,11.88,10.97,4.15,0.44,1.26,0.68,0.56,0.82,1.74,13.18,1.65,3.44,0,19%,2.38,87%,90%,11.06,0.03,0.18,1.79,0.18
,  ,Vít Novák,£60M  £180M,1.36,3.07,1.2,0.14,12%,0.56,0.07,13%,2,13.3km,0.85,49.9,43.84,12.72,11.06,4.62,0.18,0.88,0.32,0.39,0.53,1.9,13.64,1.66,3,0.07,39%,2.08,80%,88%,10.47,0.07,0.35,1.66,0.21
Int,  ,Sem Heus,£60M  £180M,1.9,3.76,1.23,0.26,28%,0.62,0.18,29%,6,12.9km,1.06,52.73,46.82,12.64,7.05,5.08,0.24,0.65,0.18,0.29,0.56,1.56,16.31,2.03,3.06,0,33%,2.29,79%,89%,9.76,0.12,0.71,2.03,0.41
Int,  ,Bruno Lara,£56M  £169M,1.61,2.6,0.79,0,17%,1.81,0.38,21%,5,13.0km,1.05,52.67,46.91,12.63,10.64,4.3,0.58,1.78,0.64,0.2,0.53,1.43,15.52,1.81,3.1,0,30%,1.96,82%,89%,11.11,0.03,0.44,2.31,0.18
Int,  ,Simon Lecoq,£54M  £162M,1.77,2.69,0.88,0.06,16%,0.39,0.06,17%,2,13.3km,0.78,55.65,51.14,11.36,6.43,5.55,0.06,0.16,0,0.36,0.88,1.46,13.44,1.4,2.92,0.1,33%,2.37,79%,92%,9.74,0.1,0.55,1.4,0.26
Int,  ,Lorin Graf,£53M  £158M,1.41,3.81,1.34,0.03,32%,2.44,0.52,21%,8,13.2km,1.92,32.59,26.86,13.34,16.63,2.72,0.7,2.38,1.25,0.24,0.79,1.62,12.45,1.8,2.81,0,35%,1.95,81%,82%,11.32,0.03,0.21,1.8,0.24
Int,  ,Miloš Stanković,£48M  £144M,1.58,3.51,1.08,0.34,25%,0.58,0.14,25%,6,12.5km,1.25,48.57,43.88,11.19,11.64,4.33,0.46,1.2,0.41,0.43,0.77,1.97,12.05,1.52,2.89,0.02,31%,2.17,87%,90%,10.22,0.02,0.48,1.52,0.31
Inj,  ,Paulius Gasiunas,£39M  £118M,1.89,4.68,2.31,0.25,31%,0.61,0.19,32%,7,13.1km,1.16,47.26,40.84,12.83,10.66,3.99,0.52,1.62,0.61,0.44,0.52,1.71,13.99,1.79,2.34,0,49%,1.38,76%,86%,10.52,0,0.44,1.79,0.25
Int,  ,Ismael Baldé,£38M  £113M,1.77,3.8,1.23,0.1,30%,1.73,0.3,17%,3,12.7km,1.43,47.82,41.69,11.36,15.56,2.91,0.4,0.89,0.35,0.44,0.89,1.83,13.78,1.28,2.47,0,32%,1.68,76%,87%,11.31,0.2,0.1,1.78,0.25
Int,  ,Tommaso Basile,£37M,1.72,2.69,1.48,0.04,28%,0.31,0.09,29%,2,12.7km,1.48,57.76,53,11.66,8.21,5.83,0.04,0.22,0,0.4,0.94,1.3,11.52,1.26,2.96,0.09,55%,2.06,70%,92%,10,0.09,0.36,1.26,0.13
Int,  ,Mads Grauslund,£36M,1.91,3.32,1.87,0.12,21%,0.95,0.21,22%,5,12.3km,0.95,46.76,41.37,11.15,10.61,3.69,0.08,0.33,0.12,0.5,0.7,1.53,15.17,1.62,2.86,0,56%,1.82,75%,88%,11.86,0.04,0.25,1.62,0.21
,  ,Guy Tientcheu,£35M  £105M,1.4,4.53,2.88,0.38,23%,0.33,0.08,23%,3,12.6km,0.61,53.36,48.07,10.79,5.75,5.42,0.28,0.71,0.08,0.46,1.02,1.78,15.96,1.35,2.83,0.23,63%,2.55,89%,90%,10.01,0.1,0.46,1.35,0.2
Int,  ,Nathan Jenni,£32M  £96M,2.04,4.13,1.92,0.26,31%,0.58,0.18,32%,7,12.4km,0.84,46.59,41.12,11.13,10.1,3.37,0.29,0.82,0.21,0.39,0.61,1.84,17.89,1.24,2.71,0,46%,2.24,88%,88%,12.1,0.03,0.5,1.24,0.32
