Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Nebojša Rodić,£12K  £35K,1.45,88,Optibet Virsliga,,,,8.14,0.77,85,,,0.03,,0.09,,0.09,0.11,0%,5.36,0.67,21%,3.64,0.77,21%,8,12.0km,0.57,49.5,43.18,14.94,19.53,6.22,0.29,0.86,0,0.77,1.53,2.3,9.96,0.57,2.01,0.29,66%,2.01,88%,87%,7.56,0,0.1,0.57,
,  ,Edijs Vavilovs,£110K  £350K,1.77,88,Optibet Virsliga,,,,5.28,1.09,68,,,0.04,,0.01,,0.01,0.04,0%,2.8,0.16,16%,6.45,1.09,17%,14,13.1km,1.32,41.35,35.36,14.38,12.67,4.74,0.08,0.23,0,0.54,1.48,2.95,14.61,1.79,2.64,0,53%,2.18,82%,86%,11.11,0.08,,1.79,
Lst,  ,Rodrigo Soares,£50K,1.67,95,Optibet Virsliga,,,,6.58,0.33,79,,,0.02,,0.06,,0.06,0.1,14%,5.17,0.83,8%,4.08,0.33,8%,4,11.9km,1.5,46.58,40.92,11.67,11.5,5.5,0.33,0.58,0.08,0.58,1.67,2.08,16.83,0.67,2,0.75,78%,2.33,97%,88%,6.83,0,0.42,0.67,
,  ,Fontas Andreopoulos,£170K  £500K,1.62,96,Optibet Virsliga,,,,4.59,0.88,68,,,0.06,,0.01,,0.01,0.13,0%,2.23,0.07,10%,8.1,0.88,11%,13,13.5km,2.16,43.75,38.35,15.06,13.98,3.71,0,0.07,0,0.54,1.15,2.57,13.5,1.15,2.9,0.07,49%,2.23,87%,88%,11.28,0.07,0.07,1.15,
,  ,Romāns Andrejevs,£40K  £120K,0.4,93,Optibet Virsliga,,,,5.84,1.09,75,,,0.05,,0.05,,0.05,0.12,20%,0.86,0.08,17%,6.31,1.09,17%,14,12.9km,2.8,34.96,29.66,12.3,22.03,2.8,0.23,0.39,0.08,0.54,1.4,2.02,6.23,0.78,2.57,0.16,15%,1.95,81%,85%,10.67,0,0.08,0.78,0.08
Wnt,  ,Artis Gluščuks,£140K  £425K,1.44,100,Optibet Virsliga,,,,5.64,0.44,89,,,0.11,,0,,0,0.01,0%,2.6,0.57,15%,2.85,0.44,16%,7,12.1km,1.01,46.39,42.53,13.82,14.7,5.32,0.06,0.06,0,0.63,1.46,1.96,11.35,1.2,3.17,0.51,46%,3.04,73%,92%,9.82,0.06,0.13,1.2,0.13
,  ,Angelantonio Piluso,£170K  £500K,1.25,106,Optibet Virsliga,,,,2.62,0.79,40,,,0.09,,0.02,,0.02,0.07,0%,0.85,0.26,16%,4.78,0.79,16%,12,12.8km,1.44,41.69,35.21,14.73,13.88,4.91,0.13,0.26,0,0.46,1.18,3.14,12.89,1.7,2.88,0.07,33%,2.42,80%,84%,11.59,0.13,0.2,1.7,0.07
,  ,Mózes Lékai,£130K  £400K,1.33,97,Optibet Virsliga,,,,5.45,0.97,79,50%,"1,305.00",0.12,,0,0.07,0,0.01,100%,1.17,0.07,11%,8.41,0.97,11%,14,13.5km,1.79,37.1,32.69,15.72,15.17,3.1,0.07,0.14,0.14,0.69,1.66,2.41,10.69,1.52,1.93,0.07,22%,1.66,86%,88%,10.34,0,0.07,1.52,0.21
Lst,  ,Ondrej Rusnak,£85K,1.58,88,Optibet Virsliga,,,,6.87,0.44,62,,,0.15,,0.02,,0.02,0.1,0%,2.11,0.33,16%,2.66,0.44,17%,4,12.8km,0.55,47.22,41.56,14.41,15.18,5.87,0.11,0.22,0,0.89,1.22,2.33,12.64,0.67,2.44,0.33,31%,2.99,90%,88%,8.42,0.11,0.11,0.67,0.11
,  ,Sebastian Amlang,£16K  £50K,0.33,93,Optibet Virsliga,,,,4.94,0.99,45,,,0.03,,0,,0,0,0%,2.63,0.11,14%,6.8,0.99,15%,9,12.8km,2.3,36.11,29.63,14.27,21.18,2.41,0.11,0.11,0,0.33,2.09,1.87,7.24,1.1,3.84,0.22,53%,3.18,81%,82%,10.43,0.11,,1.1,0.11
